Date,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Day Perc Change,pc_Open_Close,pc_High_Low,5_day_mean,5_day_std,Action
2017-05-25,DHFL,N4,2017-05-25,998.35,1017.5,1017.5,1017.5,1017.5,1017.5,1017.5,200,203500.0,2,200,100.0,1.45,0.0,0.0,17.733999999999988,77.41928590474082,1
2017-05-25,DHFL,N6,2017-05-25,1014.2,1013.5,1024.0,1013.25,1024.0,1024.0,1018.34,146,148677.75,9,135,92.47,0.64,0.010360138135175136,0.010609425117197138,17.853999999999985,77.38546136064578,1
2017-05-25,DHFL,N8,2017-05-25,1063.0,1063.1,1063.1,1063.0,1063.0,1063.0,1063.02,34,36142.8,3,34,100.0,3.81,-9.40645282663052e-05,9.407337723415715e-05,18.271999999999984,77.2821015501002,1
2017-05-25,DHFL,NC,2017-05-25,1073.0,1074.8,1080.0,1071.0,1071.01,1072.05,1073.53,1683,1806747.8,21,1633,97.03,-0.23,-0.002558615556382583,0.008403361344537815,1.3499999999999885,1.511208125970308,-1
2017-05-25,DHFL,NL,2017-05-25,1045.55,1050.0,1053.0,1050.0,1053.0,1053.0,1052.7,100,105270.0,7,100,100.0,-1.78,0.002857142857142857,0.002857142857142857,0.7039999999999885,2.051543321501805,1
2017-05-25,DHFL,NN,2017-05-25,1046.0,1050.5,1054.0,1050.5,1054.0,1054.0,1053.62,93,97987.0,7,93,100.0,0.09,0.0033317467872441696,0.0033317467872441696,0.5939999999999885,2.0704902801024336,1
2017-05-25,DHFL,NP,2017-05-25,1064.0,1065.0,1066.0,1064.25,1065.15,1065.15,1065.55,1128,1201941.06,15,1124,99.65,1.06,0.0001408450704226206,0.001644350481559784,0.04399999999998849,1.1736396380485048,-1
2017-05-26,DHFL,EQ,2017-05-26,405.5,411.9,415.45,408.7,411.0,410.65,411.89,2555251,1052480440.75,35435,760344,29.76,-61.45,-0.0030347171643602816,0.016515781747002693,-12.462000000000012,27.404143299873436,1
2017-05-26,DHFL,N6,2017-05-26,1024.0,1016.0,1019.0,1010.05,1011.06,1011.06,1015.75,879,892844.84,11,879,100.0,146.21,-0.004862204724409502,0.008860947477847677,16.82599999999999,77.04251313398338,1
2017-05-26,DHFL,N8,2017-05-26,1063.0,1062.2,1062.2,1062.15,1062.15,1062.17,1062.18,48,50984.45,2,48,100.0,5.06,-2.824326868760376e-05,4.7074330367607704e-05,18.193999999999992,76.68946100997191,1
2017-05-26,DHFL,NC,2017-05-26,1072.05,1074.0,1074.2,1072.75,1074.2,1074.2,1073.85,1603,1721386.7,12,1603,100.0,1.13,0.00018621973929240732,0.001351666278256859,18.40199999999999,76.62946998381237,1
2017-05-26,DHFL,NH,2017-05-26,1175.0,1175.0,1175.0,1175.0,1175.0,1175.0,1175.0,10,11750.0,1,10,100.0,9.38,0.0,0.0,20.06599999999999,76.24813066561043,-1
2017-05-26,DHFL,NL,2017-05-26,1053.0,1054.25,1054.25,1054.25,1054.25,1054.25,1054.25,50,52712.5,2,50,100.0,-10.28,0.0,0.0,30.29999999999999,65.20632139601192,1
2017-05-26,DHFL,NP,2017-05-26,1065.15,1065.8,1066.15,1064.6,1066.15,1065.88,1065.46,2142,2282206.3,21,2139,99.86,1.1,7.506098705212481e-05,0.0014559458951720666,1.2779999999999858,7.307305933105561,-1
2017-05-29,DHFL,EQ,2017-05-29,410.65,412.0,419.7,409.95,411.2,410.95,414.27,1944213,805426135.55,37384,578026,29.73,-61.45,-0.0025485436893204158,0.023783388218075376,-12.024000000000015,28.501619778531868,1
2017-05-29,DHFL,N6,2017-05-29,1011.06,1013.0,1019.95,1012.0,1019.0,1019.0,1016.11,297,301785.7,12,242,81.48,147.96,0.005923000987166831,0.007855731225296488,17.341999999999988,78.03751033957965,1
2017-05-29,DHFL,N8,2017-05-29,1062.17,1062.0,1062.0,1062.0,1062.0,1062.0,1062.0,39,41418.0,4,39,100.0,4.22,0.0,0.0,16.309999999999988,78.20306963284753,1
2017-05-29,DHFL,NC,2017-05-29,1074.2,1072.5,1075.0,1072.5,1075.0,1075.0,1073.01,1005,1078375.0,2,1005,100.0,1.22,0.002331002331002331,0.002331002331002331,18.60999999999999,77.39042318013257,-1
2017-05-29,DHFL,NL,2017-05-29,1054.25,1055.0,1057.0,1055.0,1057.0,1056.97,1055.33,120,126639.5,8,120,100.0,-1.68,0.001867298578199078,0.0018957345971563982,18.053999999999988,77.55747662218002,1
2017-05-29,DHFL,NN,2017-05-29,1054.0,1039.15,1060.8,963.0,1060.8,1060.8,1013.21,50,50660.35,4,25,50.0,0.36,0.020834335755184393,0.10155763239875384,30.415999999999986,65.74333639236755,1
2017-05-29,DHFL,NP,2017-05-29,1065.88,1063.0,1066.23,1063.0,1065.1,1066.15,1064.89,462,491980.07,8,432,93.51,0.5,0.002963311382878731,0.0030385700846660567,0.9239999999999838,2.1348255198021633,-1
2017-05-30,DHFL,EQ,2017-05-30,410.95,411.2,414.0,408.0,412.8,412.15,411.35,1364490,561285704.5,29192,535078,39.21,-61.34,0.002310311284046665,0.014705882352941176,-12.188000000000017,27.497951196407303,1
2017-05-30,DHFL,N2,2017-05-30,1003.0,1003.0,1003.0,1003.0,1003.0,1003.0,1003.0,7,7021.0,1,7,100.0,143.36,0.0,0.0,16.239999999999988,75.82743434931714,1
2017-05-30,DHFL,N6,2017-05-30,1019.0,1021.0,1032.8,1015.0,1030.0,1030.12,1024.92,937,960347.28,24,874,93.28,2.7,0.008932419196865712,0.017536945812807837,17.11599999999999,75.59359681877825,1
2017-05-30,DHFL,N8,2017-05-30,1062.0,968.0,1062.0,968.0,1060.0,1060.0,1057.53,230,243232.0,19,220,95.65,2.9,0.09504132231404959,0.09710743801652892,17.623999999999988,75.46126211507465,1
2017-05-30,DHFL,NC,2017-05-30,1075.0,1075.0,1078.5,1075.0,1078.5,1078.23,1077.71,662,713446.0,10,662,100.0,1.72,0.0030046511627907146,0.0032558139534883722,17.867999999999988,75.39399259888019,-1
2017-05-30,DHFL,NL,2017-05-30,1056.97,1059.95,1060.0,1056.0,1056.0,1056.0,1058.22,90,95239.5,6,90,100.0,-2.06,-0.0037265908769282,0.003787878787878788,29.72399999999999,63.55590200760273,1
2017-05-30,DHFL,NP,2017-05-30,1066.15,1066.0,1066.0,1065.0,1065.0,1065.0,1065.39,1200,1278470.0,16,1100,91.67,0.85,-0.0009380863039399625,0.0009389671361502347,1.2219999999999858,2.009855716214315,-1
2017-05-31,DHFL,EQ,2017-05-31,412.15,414.45,421.45,412.55,418.0,416.65,417.86,2502720,1045783694.95,55464,969147,38.72,-60.88,0.005308239835927105,0.02157314264937578,-11.494000000000016,27.668342559683598,1
2017-05-31,DHFL,N4,2017-05-31,1017.5,1000.01,1000.01,1000.01,1000.01,1000.01,1000.01,135,135001.35,6,135,100.0,140.01,0.0,0.0,15.92799999999998,74.24384331377249,1
2017-05-31,DHFL,N5,2017-05-31,1054.0,1050.0,1050.0,1050.0,1050.0,1050.0,1050.0,50,52500.0,1,50,100.0,5.0,0.0,0.0,16.583999999999982,74.10127414559076,-1
